sector,universe_stock_count,stocks,searched_stock_count,searched_stocks,top_5_features,top_3_combos
Bất động sản,18,"BCM,DIG,DXG,HDC,HDG,KBC,KDH,KOS,NLG,PDR,SIP,SJS,SZC,TCH,VHM,VIC,VPI,VRE",18,"BCM,DIG,DXG,HDC,HDG,KBC,KDH,KOS,NLG,PDR,SIP,SJS,SZC,TCH,VHM,VIC,VPI,VRE","price_acceleration (10 mã, 20 lần, max=0.133) | upper_shadow (8 mã, 20 lần, max=0.124) | vwap_gap (8 mã, 19 lần, max=0.049) | ma_50_gap (8 mã, 13 lần, max=0.095) | volatility_20 (7 mã, 15 lần, max=0.080)","VHM:return_3,return_10 (test=0.146, val=-0.037) | VHM:adjust_return,ma_cross_5_20 (test=0.140, val=-0.016) | VHM:close_return,ma_cross_5_20 (test=0.136, val=-0.053)"
Ngân hàng,14,"ACB,BID,CTG,EIB,HDB,LPB,MBB,SHB,STB,TCB,TPB,VCB,VIB,VPB",14,"ACB,BID,CTG,EIB,HDB,LPB,MBB,SHB,STB,TCB,TPB,VCB,VIB,VPB","obv_change (9 mã, 13 lần, max=0.052) | vwap_gap (8 mã, 23 lần, max=0.056) | intraday_return (8 mã, 17 lần, max=0.068) | body_pct (7 mã, 15 lần, max=0.068) | upper_shadow (6 mã, 11 lần, max=0.051)","TPB:ma_20_gap,ma_50_gap (test=0.085, val=-0.051) | MBB:intraday_return,ma_5_gap (test=0.068, val=-0.054) | MBB:body_pct,ma_5_gap (test=0.068, val=-0.054)"
Thực phẩm và đồ uống,10,"ANV,DBC,HAG,KDC,MSN,PAN,SAB,SBT,VHC,VNM",10,"ANV,DBC,HAG,KDC,MSN,PAN,SAB,SBT,VHC,VNM","vwap_gap (8 mã, 20 lần, max=0.082) | price_acceleration (7 mã, 16 lần, max=0.085) | volume_change (6 mã, 9 lần, max=0.077) | upper_shadow (5 mã, 14 lần, max=0.077) | gap_open (5 mã, 8 lần, max=0.085)","PAN:atr_14,ma_cross_5_20 (test=0.087, val=-0.042) | MSN:volume_zscore_20,volatility_10 (test=0.086, val=-0.034) | PAN:ma_cross_5_20,signed_volume (test=0.085, val=-0.082)"
Dịch vụ tài chính,9,"BSI,CTS,EVF,FTS,HCM,SSI,VCI,VIX,VND",9,"BSI,CTS,EVF,FTS,HCM,SSI,VCI,VIX,VND","volume_ratio_5 (5 mã, 9 lần, max=0.063) | rolling_min_20_gap (5 mã, 8 lần, max=0.078) | lower_shadow (5 mã, 5 lần, max=0.032) | volume_zscore_20 (4 mã, 14 lần, max=0.078) | close_position (4 mã, 9 lần, max=0.061)","VIX:volume_zscore_20,rolling_min_20_gap (test=0.078, val=0.026) | VIX:range_pct,rolling_min_20_gap (test=0.069, val=0.023) | VIX:volume_zscore_20,return_3 (test=0.063, val=0.004)"
Xây dựng và Vật liệu,9,"BMP,CII,CTD,CTR,HHV,HT1,PC1,VCG,VGC",9,"BMP,CII,CTD,CTR,HHV,HT1,PC1,VCG,VGC","lower_shadow (5 mã, 13 lần, max=0.042) | volatility_5 (5 mã, 10 lần, max=0.053) | rolling_min_20_gap (5 mã, 9 lần, max=0.056) | volatility_20 (5 mã, 7 lần, max=0.056) | atr_14 (4 mã, 11 lần, max=0.054)","CII:close_return,high_close_gap (test=0.065, val=0.020) | CII:intraday_return,momentum_20 (test=0.062, val=0.014) | CII:body_pct,momentum_20 (test=0.062, val=0.014)"
"Điện, nước & xăng dầu khí đốt",6,"BWE,GAS,NT2,POW,PPC,REE",6,"BWE,GAS,NT2,POW,PPC,REE","vwap_gap (5 mã, 10 lần, max=0.046) | momentum_20 (4 mã, 7 lần, max=0.071) | obv_change (4 mã, 5 lần, max=0.066) | atr_14 (3 mã, 11 lần, max=0.046) | atr_gap (3 mã, 7 lần, max=0.057)","GAS:momentum_20,rolling_max_20_gap (test=0.071, val=-0.071) | GAS:volume_match,volume_ratio_5 (test=0.069, val=-0.160) | GAS:ma_50_gap,obv_change (test=0.066, val=-0.097)"
Hàng & Dịch vụ Công nghiệp,5,"GEX,GMD,PVT,VSC,VTP",5,"GEX,GMD,PVT,VSC,VTP","rolling_min_20_gap (4 mã, 10 lần, max=0.087) | volume_match (3 mã, 16 lần, max=0.101) | vwap_gap (3 mã, 5 lần, max=0.101) | close_low_gap (3 mã, 4 lần, max=0.103) | range_pct (3 mã, 4 lần, max=0.085)","PVT:close_low_gap,return_10 (test=0.103, val=-0.025) | PVT:volume_match,vwap_gap (test=0.101, val=-0.061) | PVT:close_low_gap,volatility_ratio (test=0.090, val=-0.068)"
Hóa chất,5,"DCM,DGC,DPM,GVR,PHR",5,"DCM,DGC,DPM,GVR,PHR","volatility_20 (3 mã, 9 lần, max=0.088) | volume_ratio_20 (3 mã, 4 lần, max=0.089) | volatility_10 (3 mã, 4 lần, max=0.084) | body_pct (3 mã, 3 lần, max=0.089) | intraday_return (3 mã, 3 lần, max=0.089)","PHR:high_close_gap,price_acceleration (test=0.103, val=-0.028) | PHR:range_pct,volatility_5 (test=0.102, val=-0.015) | PHR:high_close_gap,volatility_5 (test=0.092, val=-0.068)"
Tài nguyên Cơ bản,4,"HPG,HSG,NKG,PTB",4,"HPG,HSG,NKG,PTB","obv_change (4 mã, 7 lần, max=0.016) | vwap_gap (3 mã, 7 lần, max=0.025) | price_acceleration (3 mã, 3 lần, max=0.025) | range_pct (3 mã, 3 lần, max=0.020) | volatility_20 (2 mã, 6 lần, max=0.026)","NKG:volatility_20 (test=0.026, val=-0.025) | NKG:price_acceleration,volatility_ratio (test=0.025, val=-0.051) | NKG:volatility_20,vwap_gap (test=0.025, val=-0.025)"
Bán lẻ,3,"DGW,FRT,MWG",3,"DGW,FRT,MWG","obv_change (3 mã, 6 lần, max=0.044) | close_low_gap (2 mã, 9 lần, max=0.041) | vwap_gap (2 mã, 7 lần, max=0.050) | lower_shadow (2 mã, 3 lần, max=0.038) | volume_change (2 mã, 3 lần, max=0.036)","DGW:volume_ratio_20,vwap_gap (test=0.050, val=0.004) | DGW:volatility_5,vwap_gap (test=0.045, val=0.024) | DGW:volatility_5,obv_change (test=0.044, val=0.028)"
