artifact_id,date,category,status,recommendation,scope,holdout_used,model_family,variant,seeds,source_dir,gold_dir,primary_metric,rel_score,train_rel_score,q90_abs_e,q95_abs_e,share_abs_e_gt_050,daily_violation_gt_035,directional_accuracy,coverage,equity,sharpe,max_drawdown,turnover,n_obs,n_days,notes,files,size_mb
meta_ensemble_calibration_20260528::hgb_abs_blend,2026-05-28,calibrated ensemble,keep,MAIN,VN validation only unless stated,False,hgb_abs,hgb_abs_blend,"43,52,62,71,82",/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/meta_ensemble_calibration_20260528,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/meta_ensemble_calibration_20260528,rel_score,0.048809567933723,0.0443386441410469,0.0467238388955593,0.0624438412487506,0.0879642650343287,360.0,0.5182728099925552,,,,,,,,Frozen 5-seed hetero anchor + 2D regime + lightweight meta learner. Best current full-coverage validation stack.,comparison.csv; summary.md; meta_ensemble_histogram.png; meta_ensemble_metric_bars.png,0.11399364471435547
meta_ensemble_calibration_20260528::2d_regime,2026-05-28,calibrated ensemble,keep,INTERPRETABLE,VN validation only unless stated,False,2d_regime,2d_regime,"43,52,62,71,82",/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/meta_ensemble_calibration_20260528,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/meta_ensemble_calibration_20260528,rel_score,0.048545571084685,,0.0466486401855945,0.0621215738356113,0.0875341219290263,361.0,0.5182728099925552,,,,,,,,Frozen 5-seed hetero anchor + 2D regime + lightweight meta learner. Best current full-coverage validation stack.,comparison.csv; summary.md; meta_ensemble_histogram.png; meta_ensemble_metric_bars.png,0.11399364471435547
meta_ensemble_calibration_20260528::et_tail_blend,2026-05-28,calibrated ensemble,keep,TAIL_CANDIDATE,VN validation only unless stated,False,et_tail,et_tail_blend,"43,52,62,71,82",/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/meta_ensemble_calibration_20260528,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/meta_ensemble_calibration_20260528,rel_score,0.0478757445605628,0.0424229393277989,0.0465917214751243,0.062215007841587,0.0868227314087186,360.0,0.5175117875754819,,,,,,,,Frozen 5-seed hetero anchor + 2D regime + lightweight meta learner. Best current full-coverage validation stack.,comparison.csv; summary.md; meta_ensemble_histogram.png; meta_ensemble_metric_bars.png,0.11399364471435547
selective_2d_regime_20260527::coverage_0.50,2026-05-27,selective prediction,keep,RISK_LAYER,VN validation only unless stated,False,risk classifier gate,coverage_0.50,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/selective_2d_regime_20260527,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/selective_2d_regime_20260527,q90_abs_e vs coverage,0.0035162602733633,,0.0349622964859008,0.048735074698925,0.0473480461899877,,0.4860205803527115,0.5000082719827943,,,,,,,Use for selective/abstain story; not full-coverage replacement.,coverage_metrics.csv; selective_coverage.png,0.07505989074707031
selective_2d_regime_20260527::coverage_0.60,2026-05-27,selective prediction,keep,RISK_LAYER,VN validation only unless stated,False,risk classifier gate,coverage_0.60,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/selective_2d_regime_20260527,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/selective_2d_regime_20260527,q90_abs_e vs coverage,0.0061543172926196,,0.0364958941936492,0.0507740750908851,0.051920478672071,,0.4920451098795048,0.6,,,,,,,Use for selective/abstain story; not full-coverage replacement.,coverage_metrics.csv; selective_coverage.png,0.07505989074707031
selective_2d_regime_20260527::coverage_0.70,2026-05-27,selective prediction,keep,RISK_LAYER,VN validation only unless stated,False,risk classifier gate,coverage_0.70,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/selective_2d_regime_20260527,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/selective_2d_regime_20260527,q90_abs_e vs coverage,0.0055317062021017,,0.0385637767612934,0.0539233982563018,0.0589917515539694,,0.4966793505235045,0.6999917280172058,,,,,,,Use for selective/abstain story; not full-coverage replacement.,coverage_metrics.csv; selective_coverage.png,0.07505989074707031
selective_2d_regime_20260527::coverage_0.75,2026-05-27,selective prediction,keep,RISK_LAYER,VN validation only unless stated,False,risk classifier gate,coverage_0.75,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/selective_2d_regime_20260527,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/selective_2d_regime_20260527,q90_abs_e vs coverage,0.0064097793749845,,0.0395008437335491,0.0557003058493137,0.0628005470507786,,0.4974632725989323,0.7500041359913971,,,,,,,Use for selective/abstain story; not full-coverage replacement.,coverage_metrics.csv; selective_coverage.png,0.07505989074707031
selective_2d_regime_20260527::coverage_0.80,2026-05-27,selective prediction,keep,RISK_LAYER,VN validation only unless stated,False,risk classifier gate,coverage_0.80,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/selective_2d_regime_20260527,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/selective_2d_regime_20260527,q90_abs_e vs coverage,0.0071622985577809,,0.0404838100075721,0.0571072846651077,0.0665067416659773,,0.5012407974191414,0.8,,,,,,,Use for selective/abstain story; not full-coverage replacement.,coverage_metrics.csv; selective_coverage.png,0.07505989074707031
selective_2d_regime_20260527::coverage_0.85,2026-05-27,selective prediction,keep,RISK_LAYER,VN validation only unless stated,False,risk classifier gate,coverage_0.85,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/selective_2d_regime_20260527,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/selective_2d_regime_20260527,q90_abs_e vs coverage,0.0058516122322903,,0.0416255556046962,0.0585265792906284,0.0708279808478337,,0.503094709797968,0.8499958640086028,,,,,,,Use for selective/abstain story; not full-coverage replacement.,coverage_metrics.csv; selective_coverage.png,0.07505989074707031
selective_2d_regime_20260527::coverage_0.90,2026-05-27,selective prediction,keep,RISK_LAYER,VN validation only unless stated,False,risk classifier gate,coverage_0.90,,/Users/lap15111/Documents/research-paper/data_stock_market/data/processed/assets/data_info_vn/history/training_runs/reports/selective_2d_regime_20260527,/Users/lap15111/Documents/research-paper/data_stock_market/gold/vn_transition_pressure_20260512/plots/selective_2d_regime_20260527,q90_abs_e vs coverage,0.0072880272272183,,0.0428888127207756,0.059686504304409,0.0755882352941176,,0.5055698529411765,0.8999917280172057,,,,,,,Use for selective/abstain story; not full-coverage replacement.,coverage_metrics.csv; selective_coverage.png,0.07505989074707031
