seed,score,threshold,policy
43,risk_hgb,0.08052734463103037,calibrated_p90_3p5
43,risk_logistic,0.3656374755029337,calibrated_p90_3p5
43,risk_hybrid,0.3957048787788087,calibrated_p90_3p5
43,risk_input_noise,0.3941939404318734,calibrated_p90_3p5
43,risk_disagreement,0.25001726797596296,calibrated_p90_3p5
52,risk_hgb,0.10039083254086796,calibrated_p90_3p5
52,risk_logistic,0.394846029197818,calibrated_p90_3p5
52,risk_hybrid,0.4841249740980361,calibrated_p90_3p5
52,risk_input_noise,0.41907428439228556,calibrated_p90_3p5
52,risk_disagreement,0.2000184191743605,lowest_risk_available
71,risk_hgb,0.09885524734770305,calibrated_p90_3p5
71,risk_logistic,0.3696983797414567,calibrated_p90_3p5
71,risk_hybrid,0.4868418023162111,calibrated_p90_3p5
71,risk_input_noise,0.39915669908571666,calibrated_p90_3p5
71,risk_disagreement,0.2000184191743605,lowest_risk_available
