n,rel_score,absE_robust,base_robust,absE_q90,DA,pred_actual_q90_ratio,market,model,train_rows,val_rows,n_codes
16660,0.0006829701155914858,0.026105514881783164,0.026123356353491545,0.030712379509350286,0.5150660264105642,0.0425384258489351,JP,ridge_portable,64446,16660,26
16660,0.0,0.026123356353491545,0.026123356353491545,0.030738649517297746,0.007262905162064826,0.0,JP,zero,64446,16660,26
16660,-0.0010820456687079538,0.026151623018085955,0.026123356353491545,0.03075420279055834,0.5094237695078031,0.017353522700315684,JP,global_train_mean,64446,16660,26
16660,-0.001488109310142205,0.02616223076329334,0.026123356353491545,0.03076065872446634,0.5094237695078031,0.029851402363765395,JP,stock_train_mean,64446,16660,26
16660,-0.11186888154540253,0.02904574701096863,0.026123356353491545,0.03380605624988676,0.4843937575030012,0.45160627116791674,JP,lagged_stock_mean5_val_only,64446,16660,26
58998,0.0023502063146870755,0.026131411967799067,0.026192970853298903,0.031715319398790597,0.5203227228041628,0.01839096066406282,US,global_train_mean,225295,58998,89
58998,0.0012431665849105267,0.026160408627174548,0.026192970853298903,0.031726395392888664,0.5197294823553341,0.03279250338094736,US,stock_train_mean,225295,58998,89
58998,9.43747170324416e-05,0.026190498899086385,0.026192970853298903,0.03177967445808464,0.514254720499,0.08379654747603643,US,ridge_portable,225295,58998,89
58998,0.0,0.026192970853298903,0.026192970853298903,0.031777849048376085,0.003050950879690837,0.0,US,zero,225295,58998,89
58998,-0.1210992094743284,0.029364918917417528,0.026192970853298903,0.035415040981024506,0.49615241194616766,0.4530951479627672,US,lagged_stock_mean5_val_only,225295,58998,89
60655,0.0,0.037808159925043584,0.037808159925043584,0.050458799302577975,0.07526172615612893,0.0,VN,zero,134618,60655,93
60655,-0.0002862061105686209,0.03781898085144349,0.037808159925043584,0.05039203035412356,0.4742395515621136,0.007769626026808494,VN,global_train_mean,134618,60655,93
60655,-0.0014262155627702278,0.03786208251112839,0.037808159925043584,0.0504540941416053,0.4673646030830105,0.023540335750552522,VN,stock_train_mean,134618,60655,93
60655,-0.0020407139632314664,0.03788531556492671,0.037808159925043584,0.05040119604673236,0.47293710328909405,0.03481844108055539,VN,ridge_portable,134618,60655,93
60655,-0.06985044458320822,0.04044907670468092,0.037808159925043584,0.05036385059356689,0.4616107493199242,0.42507256663134807,VN,lagged_stock_mean5_val_only,134618,60655,93
