market,model,n_folds,mean_delta_vs_zero,ci95_low,ci95_high,p_boot_delta_le_0,positive_delta_folds
JP,ridge_portable,31,0.0009736404886210053,-0.0020320250020870174,0.0037079575477128673,0.24375,19
JP,global_train_mean,31,-0.0011072605708853003,-0.004018739629910528,0.0018752837502195355,0.7667,12
JP,stock_train_mean,31,-0.0012115342458642374,-0.004090820666551091,0.001591247203382527,0.7957,13
JP,lagged_stock_mean5_val_only,31,-0.1115445929741238,-0.12756705739503332,-0.09553259396933063,1.0,0
US,global_train_mean,32,0.0016903903756175578,-0.0006676106729102212,0.003982857020547583,0.0782,19
US,stock_train_mean,32,0.0005385346721141215,-0.001931999171175502,0.0029095197338462877,0.3283,21
US,ridge_portable,32,-0.0037225864144811854,-0.007266604174453504,-0.0003651818757502895,0.98565,15
US,lagged_stock_mean5_val_only,32,-0.11974996817583515,-0.13046361699371284,-0.10855994555569855,1.0,0
VN,ridge_portable,32,0.00018634667454350828,-0.002448745140283142,0.0026563754567277245,0.4334,20
VN,global_train_mean,32,-0.0005121577278330708,-0.002144005997600977,0.0010745851794792104,0.73315,15
VN,stock_train_mean,32,-0.0007585476431918141,-0.0025891751417003333,0.0010344711143305215,0.79605,13
VN,lagged_stock_mean5_val_only,32,-0.09347442555211018,-0.11536871403699148,-0.07000418658857542,1.0,3
