start_date,end_date,symbol
2010-01-01,2030-12-31,ACB
2010-01-01,2030-12-31,BID
2010-01-01,2030-12-31,CTG
2010-01-01,2030-12-31,DGC
2010-01-01,2030-12-31,FPT
2010-01-01,2030-12-31,GAS
2010-01-01,2030-12-31,GVR
2010-01-01,2030-12-31,HDB
2010-01-01,2030-12-31,HPG
2010-01-01,2030-12-31,LPB
2010-01-01,2030-12-31,MBB
2010-01-01,2030-12-31,MSN
2010-01-01,2030-12-31,MWG
2010-01-01,2030-12-31,PLX
2010-01-01,2030-12-31,SAB
2010-01-01,2030-12-31,SHB
2010-01-01,2030-12-31,SSB
2010-01-01,2030-12-31,SSI
2010-01-01,2030-12-31,STB
2010-01-01,2030-12-31,TCB
2010-01-01,2030-12-31,TPB
2010-01-01,2030-12-31,VCB
2010-01-01,2030-12-31,VHM
2010-01-01,2030-12-31,VIB
2010-01-01,2030-12-31,VIC
2010-01-01,2030-12-31,VJC
2010-01-01,2030-12-31,VNM
2010-01-01,2030-12-31,VPB
2010-01-01,2030-12-31,VPL
2010-01-01,2030-12-31,VRE
