sector,features_to_keep,features_to_drop,redundant_pairs,keep_list
Bất động sản,24,4,8,"vwap_gap,bb_width,volatility_20,gap_open,intraday_return,close_position,obv_change,momentum_5,momentum_20,above_ma_200,lower_shadow,upper_shadow,ma_200_gap,volume_ratio_20,rsi_14,macd_hist,rolling_max_20_gap,wyckoff_phase_60d,effort_result_ratio,buying_pressure,selling_pressure,vwap_gap_20,alpha_sector,day_of_week"
Ngân hàng,24,4,8,"vwap_gap,bb_width,volatility_20,gap_open,intraday_return,close_position,obv_change,momentum_5,momentum_20,above_ma_200,lower_shadow,upper_shadow,ma_200_gap,volume_ratio_20,rsi_14,macd_hist,rolling_max_20_gap,wyckoff_phase_60d,effort_result_ratio,buying_pressure,selling_pressure,vwap_gap_20,alpha_sector,day_of_week"
Thực phẩm và đồ uống,24,4,9,"vwap_gap,bb_width,volatility_20,gap_open,intraday_return,close_position,obv_change,momentum_5,momentum_20,above_ma_200,lower_shadow,upper_shadow,ma_200_gap,volume_ratio_20,rsi_14,macd_hist,rolling_max_20_gap,wyckoff_phase_60d,effort_result_ratio,buying_pressure,selling_pressure,vwap_gap_20,alpha_sector,day_of_week"
Dịch vụ tài chính,23,5,9,"vwap_gap,bb_width,volatility_20,gap_open,intraday_return,close_position,obv_change,momentum_5,momentum_20,above_ma_200,lower_shadow,upper_shadow,ma_200_gap,volume_ratio_20,rsi_14,macd_hist,rolling_max_20_gap,wyckoff_phase_60d,effort_result_ratio,buying_pressure,selling_pressure,alpha_sector,day_of_week"
Xây dựng và Vật liệu,23,5,9,"vwap_gap,bb_width,gap_open,intraday_return,close_position,obv_change,momentum_5,momentum_20,above_ma_200,lower_shadow,upper_shadow,ma_200_gap,volume_ratio_20,rsi_14,macd_hist,rolling_max_20_gap,wyckoff_phase_60d,effort_result_ratio,buying_pressure,selling_pressure,vwap_gap_20,alpha_sector,day_of_week"
"Điện, nước & xăng dầu khí đốt",24,4,8,"vwap_gap,bb_width,volatility_20,gap_open,intraday_return,close_position,obv_change,momentum_5,momentum_20,above_ma_200,lower_shadow,upper_shadow,ma_200_gap,volume_ratio_20,rsi_14,macd_hist,rolling_max_20_gap,wyckoff_phase_60d,effort_result_ratio,buying_pressure,selling_pressure,vwap_gap_20,alpha_sector,day_of_week"
Hàng & Dịch vụ Công nghiệp,23,5,10,"vwap_gap,bb_width,gap_open,intraday_return,close_position,obv_change,momentum_5,momentum_20,above_ma_200,lower_shadow,upper_shadow,ma_200_gap,volume_ratio_20,rsi_14,macd_hist,rolling_max_20_gap,wyckoff_phase_60d,effort_result_ratio,buying_pressure,selling_pressure,vwap_gap_20,alpha_sector,day_of_week"
Hóa chất,24,4,9,"vwap_gap,bb_width,volatility_20,gap_open,intraday_return,close_position,obv_change,momentum_5,momentum_20,above_ma_200,lower_shadow,upper_shadow,ma_200_gap,volume_ratio_20,rsi_14,macd_hist,rolling_max_20_gap,wyckoff_phase_60d,effort_result_ratio,buying_pressure,selling_pressure,vwap_gap_20,alpha_sector,day_of_week"
Tài nguyên Cơ bản,23,5,13,"vwap_gap,bb_width,volatility_20,gap_open,intraday_return,close_position,obv_change,momentum_5,momentum_20,above_ma_200,lower_shadow,upper_shadow,ma_200_gap,volume_ratio_20,rsi_14,macd_hist,rolling_max_20_gap,wyckoff_phase_60d,effort_result_ratio,buying_pressure,selling_pressure,alpha_sector,day_of_week"
Bán lẻ,22,6,12,"vwap_gap,bb_width,gap_open,intraday_return,close_position,obv_change,momentum_5,momentum_20,above_ma_200,lower_shadow,upper_shadow,ma_200_gap,volume_ratio_20,rsi_14,macd_hist,rolling_max_20_gap,wyckoff_phase_60d,effort_result_ratio,buying_pressure,selling_pressure,alpha_sector,day_of_week"
